id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
391666,NIG-2021-1-14669-120,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2021-03-08,2 more attacks were claimed on Friday: An IED attack in Mallam""",@TomaszRolbiecki,2021-03-08,2 more attacks were claimed on Friday: An IED attack in Mallam,IS,1,Malam Fatori village,in Mallam Fatori,Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2021-03-04 00:00:00.000,2021-03-04 00:00:00.000,0,0,0,0,0,1,0,475,
391554,NIG-2021-1-14669-117,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,3,"""HumAngle,2021-03-13,Updated: ISWAP Attacks Troops In Multiple Onslaughts In Borno"";""@CalibreObscura,2021-03-13,#Nigeria ISWA claims to have killed and wounded 10"";""@TomaszRolbiecki,2021-03-13,I haven't covered ISWAP claims in a moment so let's do""",HumAngle;@CalibreObscura;@TomaszRolbiecki,2021-03-13;2021-03-13;2021-03-13,Updated: ISWAP Attacks Troops In Multiple Onslaughts In Borno;#Nigeria ISWA claims to have killed and wounded 10;I haven't covered ISWAP claims in a moment so let's do,HumAngle; IS /// Calibre Obscura,1,Malam Fatori village,"in Malam Fatori, one of the furthest Nigerian towns",Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2021-03-10 00:00:00.000,2021-03-10 00:00:00.000,0,0,0,0,0,1,0,475,
391826,NIG-2021-1-14669-138,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2021-04-02,ISWAP was really silent for a while, this ended yesterday, 3 statements were released:""",@TomaszRolbiecki,2021-04-02,"ISWAP was really silent for a while, this ended yesterday, 3 statements were released:",IS,2,Malam Fatori village,between Bosso and Mallam Fatori,Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2021-03-31 00:00:00.000,2021-03-31 00:00:00.000,0,0,0,0,0,6,0,475,
398131,NIG-2021-1-14669-156.2,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,2,"""PRNigeria,2021-04-08,Despite Missing Jet, NAF Airstrikes Eliminate ISWAP Leaders, Dozens of Fighters"";""@TomaszRolbiecki,2021-04-12,Sure Tomasz, you can take a break, nothing will happen over the weekend""",PRNigeria;@TomaszRolbiecki,2021-04-08;2021-04-12,"Despite Missing Jet, NAF Airstrikes Eliminate ISWAP Leaders, Dozens of Fighters;Sure Tomasz, you can take a break, nothing will happen over the weekend",military intelligence officer,1,Arijallamari village,"at Kusuma, Sigir in Ngala and Arijallamari in Abadam Local Government Areas",Borno state,Abadam lga,13.452662,13.490481,POINT (13.490481 13.452662),148707,Nigeria,NGA,475,Africa,1,2,2021-04-06 00:00:00.000,2021-04-08 00:00:00.000,0,9,0,0,9,8,9,475,
398132,NIG-2021-1-14669-156.3,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,2,"""PRNigeria,2021-04-08,Despite Missing Jet, NAF Airstrikes Eliminate ISWAP Leaders, Dozens of Fighters"";""@TomaszRolbiecki,2021-04-12,Sure Tomasz, you can take a break, nothing will happen over the weekend""",PRNigeria;@TomaszRolbiecki,2021-04-08;2021-04-12,"Despite Missing Jet, NAF Airstrikes Eliminate ISWAP Leaders, Dozens of Fighters;Sure Tomasz, you can take a break, nothing will happen over the weekend",military intelligence officer,1,Sigir village,"at Kusuma, Sigir in Ngala and Arijallamari in Abadam Local Government Areas",Borno state,Ngala lga,12.678615,14.171438,POINT (14.171438 12.678615),147989,Nigeria,NGA,475,Africa,1,2,2021-04-06 00:00:00.000,2021-04-08 00:00:00.000,0,8,0,0,8,9,9,475,
405723,NIG-2021-1-14669-196,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2021-06-04,ISWAP (only talking about the Lake Chad part) claimed one new attack""",@TomaszRolbiecki,2021-06-04,ISWAP (only talking about the Lake Chad part) claimed one new attack,"ISWAP (Al-Naba, through @TomaszRolbiecki)",2,Mile four village,"in the Mile Four area (near Baga, I guess)",Borno state,Kukawa lga,13.065654,13.771354,POINT (13.771354 13.065654),148708,Nigeria,NGA,475,Africa,1,1,2021-06-14 00:00:00.000,2021-06-14 00:00:00.000,0,0,0,0,0,1,0,475,
414375,NIG-2021-1-14669-234,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2021-08-15,On Saturday, ISWAP claimed an ambush against an NA patrol near Mallam Fatori""",@TomaszRolbiecki,2021-08-15,"On Saturday, ISWAP claimed an ambush against an NA patrol near Mallam Fatori",IS,2,Malam Fatori village,near the town of (Malm Fatori) in the (Brno) region,Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2021-08-14 00:00:00.000,2021-08-14 00:00:00.000,0,0,0,0,0,5,0,475,
414487,NIG-2021-1-14669-240,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""HumAngle,2021-08-23,Nigerian Troops Fend Off ISWAP Ambush, Recover Weapons""",HumAngle,2021-08-23,"Nigerian Troops Fend Off ISWAP Ambush, Recover Weapons",the Authorities,1,Kingarwa village,along the notorious Gajiram axis of the Maiduguri-Monguno Road; at Ali Gambari village,Borno state,Guzamala lga,12.660130,13.369670,POINT (13.36967 12.66013),147987,Nigeria,NGA,475,Africa,1,1,2021-08-22 00:00:00.000,2021-08-22 00:00:00.000,0,3,0,0,3,3,3,475,
414070,NIG-2021-1-14669-226,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""BBC Monitoring Africa,2021-08-29,IS claims killing 15 soldiers in Nigeria's Borno""",BBC Monitoring Africa,2021-08-29,IS claims killing 15 soldiers in Nigeria's Borno,IS,2,Malam Fatori village,near the town of Malam Fatori in Borno State,Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,2,2021-08-26 00:00:00.000,2021-08-28 00:00:00.000,0,0,0,0,0,15,0,475,
414068,NIG-2021-1-14669-225,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""BBC Monitoring Africa,2021-08-28,IS claims deadly attack on army camp in Nigeria's Yobe""",BBC Monitoring Africa,2021-08-28,IS claims deadly attack on army camp in Nigeria's Yobe,IS,1,Malam Fatori village,in the town of Malam Fatori,Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2021-08-26 00:00:00.000,2021-08-26 00:00:00.000,0,0,0,0,0,5,0,475,
