ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity,Year
3770,0,Indonesia,,108.26,-6.8436,10402.99,2011-01-16,2011-01-18,News,0,12000,Heavy Rain,1.0,2011
3774,FL-2011-000021-MYS,Malaysia,,104.669,-4.05208,62167.77,2011-01-28,2011-01-31,News,2,20000,Heavy Rain,1.5,2011
3776,,Sri Lanka,,80.5342,8.51316,19891.49,2011-02-01,2011-02-14,News,14,250000,Heavy Rain,1.5,2011
3778,FL-2011-000019-LSO,Lesotho,,28.0783,-29.5025,19634.43,2011-02-01,2011-02-16,News,26,5000,Heavy Rain,1.0,2011
3780,FL-2011-000021-MYS,Malaysia,,102.77,2.65259,36529.58,2011-02-01,2011-02-16,News,0,24000,Heavy Rain,1.0,2011
3790,,Brazil,,-48.1626,-23.783,124445.34,2011-03-12,2011-03-18,News,10,31000,Heavy Rain,1.5,2011
3791,,Namibia,,22.8815,-18.0384,47808.61,2011-03-01,2011-03-18,News,0,4000,Heavy Rain,1.0,2011
3792,,Australia,,122.73,-18.939,114051.18,2011-03-14,2011-03-18,News,0,217,Heavy Rain,2.0,2011
3795,,Thailand,,99.277,8.66649,33575.43,2011-03-23,2011-04-10,News,59,84000,Heavy Rain,2.0,2011
3796,,Indonesia,,98.9728,3.32971,23979.38,2011-03-31,2011-04-01,News,0,400,Heavy Rain,1.0,2011
3797,,Malaysia,,100.482,6.08029,31580.94,2011-03-31,2011-04-01,News,0,4230,Heavy Rain,1.0,2011
3798,,Namibia,Angola,20.642,-18.1881,102874.48,2011-03-15,2011-04-19,News,62,10000,Heavy Rain,1.5,2011
3803,,Tanzania,,37.5593,-6.64778,137262.92,2011-04-09,2011-05-19,News,8,9000,Heavy Rain,1.5,2011
3804,,Syria,,41.5757,36.8808,7088.55,2011-04-23,2011-04-25,News,5,0,Heavy Rain,1.0,2011
3806,,Columbia,,-73.2916,3.72167,270433.59,2011-04-01,2011-05-19,News,0,29000,Heavy Rain,1.0,2011
3809,,USA,,-90.8266,34.0959,239421.33,2011-05-01,2011-06-09,News,1,25000,Heavy Rain,2.0,2011
3812,,Canada,USA,-73.0141,45.6264,5274.09,2011-05-04,2011-06-09,News,0,1300,Heavy Rain,2.0,2011
3817,,Haiti,Dominican Republic,-71.9966,18.5965,1115.2,2011-06-04,2011-06-13,News,23,250,Heavy Rain,1.0,2011
3818,,Algeria,,2.8095,32.7048,191002.27,2011-06-03,2011-06-06,News,4,0,Heavy Rain,1.0,2011
3819,,Canada,,-96.8541,52.2558,5634.34,2011-06-01,2011-07-06,News,0,700,Heavy Rain,1.0,2011
3820,,Philippines,,125.208,8.30634,71700.83,2011-06-05,2011-06-21,News,15,15000,Heavy Rain,1.5,2011
3822,,Columbia,,-74.1581,5.69693,236086.96,2011-06-02,2011-06-13,News,464,0,Heavy Rain,1.5,2011
3824,,Australia,,152.081,-29.8414,98203.33,2011-06-11,2011-06-21,News,0,2000,Heavy Rain,1.0,2011
3828,,China,,102.561,36.9861,115468.68,2011-06-15,2011-06-21,News,0,2000,Heavy Rain,1.5,2011
3829,,Ivory Coast,,-3.23691,5.96536,14448.97,2011-06-15,2011-06-21,News,0,500,Heavy Rain,1.0,2011
3830,,Philippines,,126.05,7.39811,6361.93,2011-06-28,2011-06-29,News,25,0,Heavy Rain,1.5,2011
3831,,Russia,,134.953,48.8518,189593.05,2011-06-15,2011-06-29,News,0,120,Heavy Rain,1.0,2011
3832,,USA,Canada,-101.306,48.3406,16000.97,2011-06-20,2011-07-06,News,0,16000,Heavy Rain,2.0,2011
3836,,Dominican Republic,Haiti,-70.9765,18.855,43197.43,2011-07-02,2011-07-06,News,4,4000,Heavy Rain,1.5,2011
3839,,Nigeria,,8.6417,12.5947,103000.35,2011-07-15,2011-07-22,News,13,1000,Heavy Rain,1.5,2011
3840,,Brazil,,-38.1133,-8.65047,200669.11,2011-07-15,2011-07-22,News,10,3000,Heavy Rain,1.0,2011
3844,,Ghana,,-0.452256,7.84386,55103.28,2011-07-22,2011-07-29,News,6,12571,Heavy Rain,1.0,2011
3846,,Brazil,,-52.6403,-30.343,129795.35,2011-07-23,2011-07-29,News,10,20000,Heavy Rain,1.5,2011
3847,,South Korea,North Korea,126.872,37.8507,17840.77,2011-07-27,2011-08-09,News,53,29000,Heavy Rain,2.0,2011
3855,,Kenya,,35.5731,0.125662,20554.78,2011-08-15,2011-09-08,News,8,4000,Heavy Rain,1.5,2011
3862,,Niger,,4.55533,14.9509,74520.09,2011-08-10,2011-09-08,News,7,5000,Heavy Rain,1.5,2011
3863,,Uganda,Kenya,33.6678,1.66044,37846.35,2011-08-20,2011-09-08,News,31,0,Heavy Rain,1.5,2011
3865,,Sudan,,25.5621,13.0931,21720.21,2011-08-28,2011-09-08,News,0,1000,Heavy Rain,1.0,2011
3869,,Algeria,,1.70027,29.5654,288785.08,2011-10-01,2011-10-02,News,10,200,Heavy Rain,1.0,2011
3878,,Indonesia,,100.378,1.69854,11294.19,2011-11-27,2011-11-30,News,0,500,Heavy Rain,1.0,2011
3879,,Australia,,149.372,-29.4584,45037.95,2011-11-27,2011-12-22,News,1,60,Heavy Rain,1.0,2011
3881,,Kenya,,36.1168,0.385821,9789.33,2011-11-29,2011-12-22,News,24,98000,Heavy Rain,1.5,2011
3886,,Tanzania,,39.0377,-6.91704,5900.64,2011-12-20,2011-12-22,News,13,0,Heavy Rain,2.0,2011
3887,,Sri Lanka,,80.4521,9.30406,2560.88,2011-12-17,2011-12-22,News,0,11000,Heavy Rain,1.0,2011
3890,FL-2012-000003-BRA,Brazil,,-43.4893,-19.4637,416574.71,2012-01-01,2012-01-09,News,8,14000,Heavy Rain,1.0,2012
3891,,Angola,,15.4558,-6.28412,45582.67,2011-12-15,2012-01-09,News,0,5500,Heavy Rain,1.0,2011
3893,,Fiji,,178.076,-17.784,4927.68,2012-01-22,2012-02-06,News,8,3500,Heavy Rain,1.5,2012
3898,,Philippines,,122.12,7.15665,869.906,2012-02-12,2012-02-14,News,0,13327,Heavy Rain,1.5,2012
3901,,Nigeria,Camaroun,12.8074,9.85967,50438.09,2012-02-20,2012-02-27,News,5,300,Heavy Rain,1.0,2012
3903,FL-2012-000032-BOL,Brazil,Bolivia,-67.9865,-10.4897,172063.87,2012-02-20,2012-03-26,News,3,89000,Heavy Rain,2.0,2012
3905,,USA,,-159.53,22.0625,2046.16,2012-03-04,2012-03-07,News,0,83,Heavy Rain,1.5,2012
3906,FL-2012-000037-PSE,Gaza,,34.4615,31.4583,594.251,2012-03-04,2012-03-07,News,0,1200,Heavy Rain,1.0,2012
3908,,Tanzania,,34.7926,-1.83097,6851.66,2012-03-01,2012-03-07,News,10,0,Heavy Rain,1.0,2012
3910,,Ecuador,,-79.4951,-0.5987,39793.06,2012-03-01,2012-03-26,News,10,4700,Heavy Rain,1.5,2012
3911,,Chile,,-69.408,-52.8256,88870.6,2012-03-01,2012-03-15,News,0,1000,Heavy Rain,1.5,2012
3912,,Fiji,,178.017,-17.7982,5579.97,2012-03-29,2012-04-18,News,6,14000,Heavy Rain,2.0,2012
3915,,Haiti,Dominican Republic,-72.5821,19.4433,35151.93,2012-04-08,2012-04-26,News,9,11000,Heavy Rain,1.5,2012
3917,,Kenya,,36.2141,-2.44123,117773.22,2012-04-09,2012-04-26,News,0,50,Heavy Rain,1.0,2012
3918,,Rwanda,,29.3596,-1.40095,43617.54,2012-04-09,2012-04-18,News,2,300,Heavy Rain,1.0,2012
3922,,Columbia,,-73.0738,3.606,74036.01,2012-04-20,2012-04-26,News,17,56000,Heavy Rain,1.5,2012
3925,,Brazil,,-62.0228,-3.64908,127883.42,2012-05-01,2012-05-07,News,0,3000,Heavy Rain,2.0,2012
3926,,China,,106.493,32.4515,1056107.69,2012-05-08,2012-05-16,News,53,185000,Heavy Rain,1.5,2012
3927,,Tanzania,,30.7909,-2.41184,45092.49,2012-05-13,2012-05-16,News,0,300,Heavy Rain,1.0,2012
3930,,Uganda,,33.3224,1.00099,43315.84,2012-05-20,2012-05-29,News,0,3000,Heavy Rain,1.0,2012
3931,,Russia,,157.95,68.0009,22717.12,2012-05-20,2012-05-29,News,0,1000,Heavy Rain,1.5,2012
3932,FL-2012-000083-HND,Honduras,,-86.5954,14.1478,6519.13,2012-05-22,2012-05-29,News,0,500,Heavy Rain,1.0,2012
3933,,Canada,,-132.089,61.4228,673741.48,2012-06-06,2012-06-12,News,0,0,Heavy Rain,1.0,2012
3935,,Philippines,,124.785,6.87373,23515.69,2012-06-08,2012-06-12,News,1,700,Heavy Rain,1.0,2012
3946,,Moldava,,28.8071,46.8848,9902.76,2012-07-08,2012-07-09,News,0,400,Heavy Rain,1.5,2012
3947,FL-2012-000114-JPN,Japan,,130.566,33.424,7922.95,2012-07-04,2012-07-16,News,28,3000,Heavy Rain,2.0,2012
3954,,Nigeria,,8.0195,10.5918,45292.27,2012-07-22,2012-07-25,News,50,2000,Heavy Rain,1.5,2012
3955,,North Korea,,126.027,38.7791,33081.58,2012-07-20,2012-08-06,News,169,63000,Heavy Rain,2.0,2012
3957,,Costa Rica,,-81.1113,8.79605,20820.98,2012-07-28,2012-07-30,News,1,1500,Heavy Rain,1.0,2012
3958,,China,,110.85,34.7959,100600.98,2012-07-25,2012-07-30,News,0,40000,Heavy Rain,1.5,2012
3967,,Niger,,3.88146,14.6081,75976.73,2012-08-06,2012-09-07,News,52,125000,Heavy Rain,1.5,2012
3968,FL-2012-000150-SDN,South Sudan,Sudan,30.2188,9.69113,456058.52,2012-08-01,2012-08-29,News,32,154000,Heavy Rain,1.5,2012
