id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
284639,NIG-2019-1-640-32,2019,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,2,"""Agence France Presse,2019-04-12,Two killed in suspected Boko Haram suicide attack in Nigeria: sources"";""Crisis Watch,2019-04-30,Nigeria  APRIL 2019""",Agence France Presse;Crisis Watch,2019-04-12;2019-04-30,Two killed in suspected Boko Haram suicide attack in Nigeria: sources;Nigeria  APRIL 2019,military and militia sources; crisis watch,2,Monguno town,outside the garrison town of Monguno,Borno state,Monguno lga,12.678630,13.607920,POINT (13.60792 12.67863),147988,Nigeria,NGA,475,Africa,1,1,2019-04-11 00:00:00.000,2019-04-11 00:00:00.000,2,2,0,0,4,4,4,475,
549887,NIG-2024-1-640-35,2024,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,6,"""Agence France Presse,2024-11-01,Chad's army accused of killing scores of fishermen in Nigeria"";""RFI.fr,2024-11-02,Tchad: l'armee accusee d'avoir tue des dizaines de pecheurs du Borno lors des represailles contre Boko Haram"";""Jeune Afrique.com,2024-11-02,Au Tchad, le gouvernement dément « fermement » avoir visé des civils dans son opération contre Boko Haram"";""Barron's,2024-11-02,Chad Denies Anti-jihadist Operation Hit Civilians"";""News Central,2024-11-02,Chad Rejects Claims of Civilian Deaths in Airstrike on Lake Chad"";""Jeune Afrique.com,2024-11-02,Au Tchad, le gouvernement dément « fermement » avoir visé des civils dans son opération contre Boko Haram""",Agence France Presse;RFI.fr;Jeune Afrique.com;Barron's;News Central;Jeune Afrique.com,2024-11-01;2024-11-02;2024-11-02;2024-11-02;2024-11-02;2024-11-02,"Chad's army accused of killing scores of fishermen in Nigeria;Tchad: l'armee accusee d'avoir tue des dizaines de pecheurs du Borno lors des represailles contre Boko Haram;Au Tchad, le gouvernement dément « fermement » avoir visé des civils dans son opération contre Boko Haram;Chad Denies Anti-jihadist Operation Hit Civilians;Chad Rejects Claims of Civilian Deaths in Airstrike on Lake Chad;Au Tchad, le gouvernement dément « fermement » avoir visé des civils dans son opération contre Boko Haram",local sources; eyewitnesses,3,Kukawa lga,Tilma island in Kukawa district on the Nigerian side of Lake Chad,Borno state,Kukawa lga,12.963090,13.608990,POINT (13.60899 12.96309),147988,Nigeria,NGA,475,Africa,1,1,2024-10-31 00:00:00.000,2024-10-31 00:00:00.000,0,0,0,3,3,40,3,475,
203078,NIG-2012-3-475-30,2012,true,Clear,3,84,463,Government of Nigeria - Civilians,84,930,Government of Nigeria - Civilians,84,84,Government of Nigeria,9999,1,Civilians,1,"""Stars on their shoulders. Blood on their hands. War crimes committed by the Nigerian military,2015-06-30,EXTRAJUDICIAL EXECUTIONS DURING SECURITY OPERATIONS: MORE THAN 200 PEOPLE KILLED IN REVENGE ATTACK ON DUGURI, 2012.""",Stars on their shoulders. Blood on their hands. War crimes committed by the Nigerian military,2015-06-30,"EXTRAJUDICIAL EXECUTIONS DURING SECURITY OPERATIONS: MORE THAN 200 PEOPLE KILLED IN REVENGE ATTACK ON DUGURI, 2012.",Eye witnesses,1,Duguri village,"Duguri (Kukawa LGA, close to Baga), a fishing town on an island in Lake Chad",Borno state,Kukawa lga,13.273680,13.803000,POINT (13.803 13.27368),148708,Nigeria,NGA,475,Africa,1,1,2012-02-15 00:00:00.000,2012-02-15 00:00:00.000,0,0,201,0,201,201,201,475,
198648,CAO-2015-3-1076-42,2015,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,1,"""Nigeria Watch (IBD005739),2015-05-13,Boko Haram Kills 2, Borno 1""",Nigeria Watch (IBD005739),2015-05-13,"Boko Haram Kills 2, Borno 1",,1,Monguno town,Monguno town,Borno state,Monguno lga,12.678630,13.607920,POINT (13.60792 12.67863),147988,Nigeria,NGA,475,Africa,1,1,2015-05-13 00:00:00.000,2015-05-13 00:00:00.000,0,0,4,0,4,4,4,,
198658,CAO-2015-3-1076-62,2015,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,1,"""Nigeria Watch (IBD005911),2015-06-07,Boko Haram Suicide Bomber, Borno""",Nigeria Watch (IBD005911),2015-06-07,"Boko Haram Suicide Bomber, Borno",,1,Monguno town,Monguno town,Borno state,Monguno lga,12.678630,13.607920,POINT (13.60792 12.67863),147988,Nigeria,NGA,475,Africa,1,1,2015-06-07 00:00:00.000,2015-06-07 00:00:00.000,0,0,2,0,2,2,2,,
196107,CAO-2015-3-1076-72,2015,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,3,"""All Africa,2015-07-02,Muslims Massacred in Boko Haram Sweep in Nigera"";""Agence France Presse,2015-07-02,Nearly 150 killed in suspected Boko Haram attacks in NE Nigeria"";""All Africa,2015-07-02,12 Die As Boko Haram Attacks Borno Villages""",All Africa;Agence France Presse;All Africa,2015-07-02;2015-07-02;2015-07-02,Muslims Massacred in Boko Haram Sweep in Nigera;Nearly 150 killed in suspected Boko Haram attacks in NE Nigeria;12 Die As Boko Haram Attacks Borno Villages,Residents and eye witnesses; local lawmaker Mohammed Tahir and witnesses,1,Musaram village,"Mussaram village, near Monguna town",Borno state,Monguno lga,12.637450,13.685600,POINT (13.6856 12.63745),147988,Nigeria,NGA,475,Africa,1,1,2015-06-30 00:00:00.000,2015-06-30 00:00:00.000,0,0,48,0,48,48,48,,
196113,CAO-2015-3-1076-73,2015,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,2,"""Agence France Presse,2015-07-02,Around 100 killed in 'Boko Haram' attack in NE Nigeria: witnesses"";""Agence France Presse,2015-07-05,Death toll from Boko Haram attack in Nigeria village rises to 118: lawmaker""",Agence France Presse;Agence France Presse,2015-07-02;2015-07-05,Around 100 killed in 'Boko Haram' attack in NE Nigeria: witnesses;Death toll from Boko Haram attack in Nigeria village rises to 118: lawmaker,Locals and witnesses; parliamentarian Haruna Kukawa,1,Kukawa town,Kukawa village,Borno state,Kukawa lga,12.924750,13.566170,POINT (13.56617 12.92475),147988,Nigeria,NGA,475,Africa,1,1,2015-07-01 00:00:00.000,2015-07-01 00:00:00.000,0,0,118,0,118,118,118,,
196531,CAO-2015-3-1076-86,2015,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,1,"""All Africa,2015-07-13,Insurgents Return to Kukawa, Kill Three Soldiers, Seven Civilians""",All Africa,2015-07-13,"Insurgents Return to Kukawa, Kill Three Soldiers, Seven Civilians","resident of Kukawa, Kolo Modu",1,Kukawa town,Kukawa town,Borno state,Kukawa lga,12.924750,13.566170,POINT (13.56617 12.92475),147988,Nigeria,NGA,475,Africa,1,1,2015-07-10 00:00:00.000,2015-07-10 00:00:00.000,0,0,7,0,7,7,7,,
196576,CAO-2015-3-1076-87,2015,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,2,"""Reuters News,2015-07-13,Suspected Boko Haram gunmen kill dozens in northeast Nigeria villages: sources"";""All Africa,2015-07-14,Boko HaramKill 43 in Monguno Village, As Suicide Bomber Kills Self At Military Check-Point""",Reuters News;All Africa,2015-07-13;2015-07-14,"Suspected Boko Haram gunmen kill dozens in northeast Nigeria villages: sources;Boko HaramKill 43 in Monguno Village, As Suicide Bomber Kills Self At Military Check-Point","security source; Mr Haruna Bukar, who is a senior member of the Vigilante Group of Nigerian (VGN) in Monguno local government",2,Monguno town,"Kalwa, Misala and Gwollam villages, 17km from Monguno town",Borno state,Monguno lga,12.678630,13.607920,POINT (13.60792 12.67863),147988,Nigeria,NGA,475,Africa,1,2,2015-07-10 00:00:00.000,2015-07-11 00:00:00.000,0,0,43,0,43,43,43,,
196620,CAO-2015-3-1076-92,2015,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,1,"""Agence France Presse,2015-07-15,At least 30 dead in triple Islamist attack in NE Nigeria""",Agence France Presse,2015-07-15,At least 30 dead in triple Islamist attack in NE Nigeria,"Abubakar Gamandi, head of the fishermen's union in Borno state",2,Baga village,Garin-Giwa (4 km from Baga),Borno state,Kukawa lga,13.094660,13.823430,POINT (13.82343 13.09466),148708,Nigeria,NGA,475,Africa,1,1,2015-07-14 00:00:00.000,2015-07-14 00:00:00.000,0,0,8,0,8,8,8,,
197941,CAO-2015-3-1076-115,2015,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,2,"""Agence France Presse,2015-08-05,Boko Haramkills nine fishermen by Lake Chad: fisherman, survivor"";""Agence France Presse,2015-08-05,Boko Haram abducts 135, kills 8 in Cameroon raid""",Agence France Presse;Agence France Presse,2015-08-05;2015-08-05,"Boko Haramkills nine fishermen by Lake Chad: fisherman, survivor;Boko Haram abducts 135, kills 8 in Cameroon raid","Abubakar Gamandi, head of the fishermen's unio",1,Maduwari village,Maduwari village,Borno state,Kukawa lga,12.846610,13.666320,POINT (13.66632 12.84661),147988,Nigeria,NGA,475,Africa,1,1,2015-08-04 00:00:00.000,2015-08-04 00:00:00.000,0,0,9,0,9,9,9,,
